progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
0.000000000000000000e+00,1.614633061943493653e+00,-1.494676231706074804e-03,4.881250075233237528e-09,3.623140856434365897e-01,-2.158089104426670624e-02,-3.989947973384512694e-07
1.010101010101010013e-02,9.996401580229642425e-01,-3.202153362969238116e-03,3.309225251168951016e-08,4.013270010972156410e-01,-8.361962794480617966e-02,-9.233588223888725753e-06
2.020202020202020027e-02,7.786734284563057162e-01,-5.081124225817602695e-03,1.126982232197202234e-07,4.528075810733348527e-01,-1.788670700231714261e-01,-6.479709115932662505e-05
3.030303030303030040e-02,7.064336463507584485e-01,-7.265171157974589962e-03,2.828827805118803026e-07,4.810380066397887955e-01,-2.936253546153471672e-01,-2.632579794230444342e-04
4.040404040404040054e-02,6.956830146707555507e-01,-9.861593782403626357e-03,6.024920064230461202e-07,4.878227056610189294e-01,-4.104534201238053681e-01,-7.619583541476788189e-04
5.050505050505050414e-02,8.383472848734291327e-01,-1.347857802821384766e-02,1.188721600907555092e-06,4.815971532844900427e-01,-5.186662515131407192e-01,-1.740139990096316704e-03
6.060606060606060080e-02,6.972630726792179434e-01,-1.684659115714838909e-02,2.155023835436857532e-06,4.984394490190197091e-01,-6.194041220763482070e-01,-3.338741837543661699e-03
7.070707070707070441e-02,4.928964098268676652e-01,-1.947855368063702852e-02,3.514716894825349829e-06,5.054565599997501435e-01,-7.124020519968298215e-01,-5.628947336113017223e-03
8.080808080808080107e-02,9.050762659581931269e-01,-2.480546130479142908e-02,5.509133443360404672e-06,5.109878549481043919e-01,-7.915645519802193553e-01,-8.572066263229254079e-03
9.090909090909091161e-02,8.378120786213633098e-01,-3.014086666115811317e-02,8.490729191849732851e-06,5.111188925467434752e-01,-8.532100494001013669e-01,-1.200727030355528899e-02
1.010101010101010083e-01,6.546235946728935495e-01,-3.460439458857302031e-02,1.253729172108451626e-05,5.021543400646063526e-01,-8.942239475046491748e-01,-1.568365521201722443e-02
1.111111111111111049e-01,9.073443777982881375e-01,-4.118095457961546552e-02,1.800602762595860900e-05,5.041146486240851710e-01,-9.106285663197277724e-01,-1.929446400266910180e-02
1.212121212121212016e-01,1.110554085142183789e+00,-4.966029125986850395e-02,2.574060606132155864e-05,5.065729160784997465e-01,-8.983048192403232379e-01,-2.249535258425440498e-02
1.313131313131312983e-01,1.183057966375031578e+00,-5.909222508304807359e-02,3.664013420915061684e-05,4.961413243426398001e-01,-8.552162877185399692e-01,-2.496818429255688240e-02
1.414141414141414088e-01,1.198657171628336293e+00,-6.907018138437523436e-02,5.152104140083598979e-05,4.984085606577421945e-01,-7.812580759745550996e-01,-2.651149669749284371e-02
1.515151515151515194e-01,1.204732055196128915e+00,-7.951406411415656850e-02,7.113979613561359527e-05,5.015619479381321355e-01,-6.780555704207068546e-01,-2.709031157039421683e-02
1.616161616161616021e-01,1.197515137145803266e+00,-9.028796869854789631e-02,9.616237113264882906e-05,5.034826714740145981e-01,-5.494172494491762482e-01,-2.684784151755063852e-02
1.717171717171716849e-01,1.185860148333231612e+00,-1.013254489840524630e-01,1.271237942280258309e-04,5.051724023311547906e-01,-3.998624434566678820e-01,-2.608279514695583876e-02
1.818181818181818232e-01,1.024027718260516862e+00,-1.111554608801679639e-01,1.640118256343556279e-04,4.999184702111614809e-01,-2.351824815269756008e-01,-2.519946279079935542e-02
1.919191919191919060e-01,1.041514852320331919e+00,-1.214361850920768898e-01,2.067517266660723937e-04,5.017095683058315769e-01,-6.108861423750976821e-02,-2.463935470063011168e-02
2.020202020202020166e-01,1.097394366008205502e+00,-1.325298556288795337e-01,2.557669603128488170e-04,5.036813717460482120e-01,1.167140133982792483e-01,-2.480061523759967759e-02
2.121212121212120993e-01,1.053838138109225220e+00,-1.433455600974117838e-01,3.111954135286075745e-04,5.047544380268168540e-01,2.902020563354770766e-01,-2.596199799564717983e-02
2.222222222222222099e-01,9.575445753972277041e-01,-1.532338564183474694e-01,3.725744284755508036e-04,5.081483840767149207e-01,4.511211258996649653e-01,-2.822378514058429891e-02
2.323232323232323204e-01,7.864495608663494286e-01,-1.613248433219118816e-01,4.389166257353933204e-04,5.129241207702595062e-01,5.923316505700902956e-01,-3.149025329194337502e-02
2.424242424242424032e-01,7.644515714128586881e-01,-1.691182399290701022e-01,5.093385475572891367e-04,5.088287495684142847e-01,7.098761048488299030e-01,-3.550107184558574241e-02
2.525252525252525415e-01,7.159026843376218308e-01,-1.763151393409936596e-01,5.832532130556313454e-04,4.947602805171021911e-01,8.038002872711075275e-01,-3.990839247517259658e-02
2.626262626262625965e-01,8.082420264798839682e-01,-1.842964927151400367e-01,6.602464804576640717e-04,5.000389828792415337e-01,8.801030668906234533e-01,-4.436665138545086567e-02
2.727272727272727071e-01,9.134896316852817444e-01,-1.930991419744829685e-01,7.400845803888160112e-04,5.048675088243885778e-01,9.462084365244055606e-01,-4.858766012267430601e-02
2.828282828282828176e-01,9.598006017726591343e-01,-2.020417110923993786e-01,8.222675053852531845e-04,5.088512100475499622e-01,1.004853095160881837e+00,-5.235967099939235758e-02
2.929292929292928727e-01,9.588428473679594388e-01,-2.106491157399734415e-01,9.060352524070105704e-04,5.115983645473147767e-01,1.059049219233760608e+00,-5.554842710542169659e-02
3.030303030303030387e-01,9.593620669295154224e-01,-2.189153963250881074e-01,9.905516755677550543e-04,5.159954873565950617e-01,1.113125918899309452e+00,-5.808554405471286208e-02
3.131313131313130937e-01,8.858105790169585880e-01,-2.262131376183720011e-01,1.075017255734997575e-03,5.160405064566450095e-01,1.169284047921690162e+00,-5.996010346513578476e-02
3.232323232323232043e-01,8.378350338019119325e-01,-2.327836087225315653e-01,1.158737922708410724e-03,5.169270518085266053e-01,1.228616443752826415e+00,-6.121952243373637859e-02
