progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
0.000000000000000000e+00,1.020767988507381929e+00,5.121883441880738415e-03,-2.817230037226722037e-08,9.411998229492973822e-01,-6.894433773460498238e-02,-4.742961852773004060e-05
2.308148154352230981e-06,1.102945853249812869e+00,1.367670154736989191e-02,-1.938835176248768640e-07,9.828085893328676326e-01,-2.283870485908730263e-01,-9.195078270888497373e-04
1.083690152157800540e-05,1.223757866815596396e+00,2.382954491304157055e-02,-4.535492729337080166e-07,9.868460018748662632e-01,-3.720975037051338918e-01,-4.960741381427266790e-03
1.410255475940311673e-05,1.419333522045423290e+00,3.377625156893389324e-02,-1.021955222765404123e-07,9.858984008371184382e-01,-4.035133990161332007e-01,-1.419681332481680797e-02
8.840513782954815387e-05,1.258051436000235057e+00,3.823811023406255977e-02,1.864773125189966351e-06,9.873794697034000700e-01,-2.760334621670121336e-01,-2.635952731992747058e-02
1.033408291706903434e-04,1.094808646483710346e+00,3.498787799839839230e-02,5.608838016509294050e-06,9.974993248829449044e-01,-2.735595129791139161e-03,-3.277207359715261087e-02
1.245594991411852232e-04,9.619090808809793725e-01,2.418286005058134860e-02,9.908681951425670433e-06,1.009082785254931336e+00,3.611298346614925103e-01,-2.036437337820162438e-02
1.431601169693149354e-04,7.082416047418931271e-01,1.026533166723489487e-02,1.291784497489622195e-05,1.015917759247981333e+00,7.502134856349215175e-01,2.368027694821349741e-02
1.892098500737378797e-04,6.016805994695497706e-01,-6.152465013193656428e-03,1.330305000659305845e-05,1.018169637735754307e+00,1.108844972956644304e+00,1.076254902556901261e-01
2.010351464798030207e-04,6.036230653521331702e-01,-2.683776000645286125e-02,1.041361746070977966e-05,1.017533486949212973e+00,1.413548598356506592e+00,2.337841267248164656e-01
3.232077892054216060e-04,6.171417089831174874e-01,-5.189049469753855698e-02,4.388481553012765523e-06,1.016705760761413169e+00,1.662108842142323795e+00,3.997983811993618408e-01
3.762702118085233579e-04,6.344232515772262326e-01,-8.106547886790532731e-02,-3.338898055065658347e-06,1.017339313354890473e+00,1.853865017436747697e+00,5.999105964885137476e-01
4.012449913172071777e-04,6.164524861235874953e-01,-1.118990643148062292e-01,-9.829775265684748901e-06,1.018652853396217139e+00,1.999554560766338973e+00,8.263380118595982093e-01
4.148957555528329493e-04,6.122275229972586885e-01,-1.442680241055648016e-01,-1.091291104587206901e-05,1.019959951020019906e+00,2.117312026910943334e+00,1.071186136493310181e+00
4.239697171051824785e-04,6.088835091227901009e-01,-1.774918899621956980e-01,-1.681608107442314673e-06,1.020399626099124157e+00,2.222483341159233294e+00,1.327451382736211993e+00
4.644251490408169867e-04,6.307374322185753668e-01,-2.122428411015115368e-01,2.342443756580510686e-05,1.020001996264468636e+00,2.324156982987152453e+00,1.588855892202011733e+00
4.912024090239778184e-04,6.490099001321634198e-01,-2.476408446111580397e-01,7.022962605344506887e-05,1.018886694059772502e+00,2.426524597608350486e+00,1.849296968846150024e+00
5.158507706020659797e-04,7.731504969254942017e-01,-2.885984671487510922e-01,1.464356104383973570e-04,1.016662951549085703e+00,2.530026226216596896e+00,2.102391877876280457e+00
5.733947255139821902e-04,8.073883294638359853e-01,-3.293842293064063731e-01,2.596874114027044743e-04,1.013060773212894894e+00,2.630843445480412601e+00,2.341155557269952947e+00
6.267647703035064514e-04,7.987292284848803714e-01,-3.670771444592912935e-01,4.136399847726279061e-04,1.007338086772382235e+00,2.718292480168204239e+00,2.557828213281146290e+00
6.649989782802094226e-04,9.903572081529343762e-01,-4.096644410324487007e-01,6.144198298231041662e-04,1.002885357777075326e+00,2.770994294467510333e+00,2.743802369137156028e+00
9.311167780051708741e-04,1.275728271528992153e+00,-4.587277706871441540e-01,8.750966831397276324e-04,1.003901755070297774e+00,2.768669805653602989e+00,2.890322968102640999e+00
6.352138525356799091e-03,1.308649627027144824e+00,-5.035993069271340605e-01,1.206404374850025916e-03,1.001597841662345445e+00,2.708429055078091618e+00,2.990458221484770807e+00
1.606053474644405718e-02,1.491854925487167138e+00,-5.491850800759104922e-01,1.621651859065971132e-03,1.000459021637081891e+00,2.594279685349424103e+00,3.040975492881255349e+00
2.591407205477054554e-02,1.495892189397218797e+00,-5.904594985511026906e-01,2.140687073532123157e-03,1.005503744209282013e+00,2.449980283067154652e+00,3.042612322273068770e+00
3.432514774277949793e-02,1.408872844430756777e+00,-6.262369985441739173e-01,2.782883165276890149e-03,1.004984278186106028e+00,2.312310025747236875e+00,2.999029224402621541e+00
4.284495913126950412e-02,1.397713017371671640e+00,-6.603870087085260687e-01,3.572309386431417322e-03,1.008780274772839824e+00,2.213037057514086303e+00,2.914664809464659445e+00
5.237473442734284779e-02,1.391481705068437602e+00,-6.948901217848774126e-01,4.538470465354069693e-03,1.012224659447569453e+00,2.183571238054129005e+00,2.792006440396794353e+00
6.445860767785541179e-02,1.333466716854927459e+00,-7.300575826503923338e-01,5.708692516320697588e-03,1.016369129327256760e+00,2.242018931336538401e+00,2.629941245769290781e+00
7.468423614095064111e-02,1.344514067926221967e+00,-7.687984501248170677e-01,7.112152685600096717e-03,1.019758188446622693e+00,2.399030518550684388e+00,2.423356923741478042e+00
9.907537397612425911e-02,1.318928216942240050e+00,-8.111261569119059267e-01,8.779885138985988810e-03,1.023623713846911087e+00,2.656820403222074578e+00,2.163906140814181978e+00
1.132436556047007881e-01,1.285507682163135934e+00,-8.574743362172534411e-01,1.073755176963485554e-02,1.027598391473478312e+00,3.003785998485516640e+00,1.842380416305187785e+00
1.445437775700013638e-01,1.297411644658507335e+00,-9.100577599941629403e-01,1.301254994846075784e-02,1.028591662005347018e+00,3.418965454208125809e+00,1.451956764904942077e+00
1.611068026034302159e-01,1.346202901857993073e+00,-9.713006594156836648e-01,1.563949107018512349e-02,1.028530633661922211e+00,3.871245638936628097e+00,9.915217242152770671e-01
1.923923906554745600e-01,1.383353680673248043e+00,-1.041248961388370642e+00,1.865509023954507739e-02,1.025453668311106625e+00,4.324774242504727972e+00,4.683528888185515271e-01
2.134391423931945031e-01,1.446890436461292895e+00,-1.121552449273164997e+00,2.210005476483980352e-02,1.021181524468572466e+00,4.746244441091794108e+00,-1.013601711509159037e-01
2.353020155211696662e-01,1.443561586126441476e+00,-1.207938922255308745e+00,2.601523581798828588e-02,1.011371395230990400e+00,5.108616190378718613e+00,-6.940544212181065653e-01
2.597148447110845804e-01,1.473994789719496712e+00,-1.301668513599022470e+00,3.044843576519575337e-02,9.976071129504360258e-01,5.385446409915452648e+00,-1.281514116295451311e+00
2.853901739638946000e-01,1.575566831820924385e+00,-1.406757978613226268e+00,3.548471597191679705e-02,9.936752424589119226e-01,5.550195819751974291e+00,-1.833431522970140559e+00
3.095897432820866046e-01,1.655249605692436843e+00,-1.521018033780266787e+00,4.124961310120424385e-02,9.873163987596923485e-01,5.595586428630958231e+00,-2.320856298301765097e+00
3.244620402365440137e-01,1.697668331886983406e+00,-1.641268787273351348e+00,4.789579032022529131e-02,9.923387029855694763e-01,5.548176092060769449e+00,-2.721337346652884293e+00
3.527881093363436360e-01,1.687940447881594919e+00,-1.763190404476556061e+00,5.559176459811113885e-02,9.923761993921998981e-01,5.452929451037334729e+00,-3.021303778881680557e+00
3.677105543250515640e-01,1.687050950117501724e+00,-1.886686685339208358e+00,6.453254534717769997e-02,9.854315240543350951e-01,5.334749241183744495e+00,-3.215646025287298038e+00
4.007990039857584064e-01,1.782251393302163978e+00,-2.018238238823479858e+00,7.500354253439481256e-02,9.891794538054691222e-01,5.182865238005677000e+00,-3.305028422288692980e+00
4.182039206822312227e-01,1.837540888516299820e+00,-2.155248733200365141e+00,8.735985624730915888e-02,9.874112980906373238e-01,4.984908644800714939e+00,-3.294003739419644194e+00
4.557552881702741643e-01,2.000608137844038126e+00,-2.306085949428017035e+00,1.020445717984601874e-01,9.934563116170337382e-01,4.735361809020679047e+00,-3.191659097705082271e+00
4.884772036812278784e-01,1.995664256035193374e+00,-2.457962638534567201e+00,1.194886500430778625e-01,1.004487484774862383e+00,4.445055113437040184e+00,-3.010562836613563054e+00
5.207370617071435115e-01,1.985865745715724495e+00,-2.610028749240955737e+00,1.400073464615260999e-01,1.009330026957193427e+00,4.136603607110587610e+00,-2.765199044418859220e+00
5.473420409780050955e-01,1.997451978485084600e+00,-2.763257609004503568e+00,1.638975002092377675e-01,1.007992120356942189e+00,3.807882539518042453e+00,-2.471642924428813615e+00
